"STATION_ID;""SITE_NAME"";""ZDALY_GAS_BRAND"";""ADDRESS"";""CITY"";""STATE"";""ZIP"";""COUNTY_NAME"";""PRICING_ZONE"";""CLUSTER_MEDIAN_PRICE"";""CLIENT_MARKET_PRICE"";""LATITUDE"";""LONGITUDE"""
"446;""6017 | (Noruega)"";Petro 7;Boulevard Venustiano Carranza No. 3932;Saltillo;Coahuila De Zaragoza;""25230"";ZM Saltillo;""15_Coah_za"";8.125;8.5;25.45791;-100.9836"
"519;""6165 | (Vito Alessio Robles)"";Petro 7;Boulevard Vito Alessio No. 4071;Saltillo;Coahuila De Zaragoza;""25100"";ZM Saltillo;""15_Coah_za"";8.125;8.54;25.47064;-100.995"
"646;""6299 | (Plaza Industrial)"";Petro 7;Boulevard Vito Alessio Robles No. 3506 Fraccionamiento Plaza Industrial;Saltillo;Coahuila De Zaragoza;""25100"";ZM Saltillo;""15_Coah_za"";8.125;8.71;25.46486;-100.9964"
"771;""6298 | (TOREO)"";Petro 7;Boulevard Jesús Valdés Sánchez No. 2911;Saltillo;Coahuila De Zaragoza;""25298"";ZM Saltillo;""4_Coah_za"";8.35;8.33;25.44261;-100.9147"
"752;""6296 | (LIBRAMIENTO JLP)"";Petro 7;Libramiento Oscar Flores Tapia Y Carretera 57 S/N Fraccionamiento El Llano;Saltillo;Coahuila De Zaragoza;""25167"";ZM Saltillo;""4_Coah_za"";8.35;8.47;25.44036;-100.8894"
"1280;""6167 | (Higueras)"";Petro 7;Carretera Monterrey - Saltillo No. 25500;Saltillo;Coahuila De Zaragoza;""25933"";ZM Saltillo;""14_Coah_za"";8.9;8.96;25.63323;-100.7989"
"10547;""6218 | (Blvd. Independencia Oriente y Arocena)"";Petro 7;Boulevard Independencia No. 501 Oriente;Torreón;Coahuila De Zaragoza;""27140"";ZM La Laguna;""10_Coah_za"";7.915;7.65;25.55189;-103.4446"
"565;""6098 | (Colon y Allende)"";Petro 7;Avenida Allende Esquina Colon S/N Segundo de Cobián;Torreón;Coahuila De Zaragoza;""27000"";ZM La Laguna;""10_Coah_za"";7.915;8.14;25.54146;-103.4483"
"9439;""6262 | (Monaco y Constitucion)"";Petro 7;Boulevard Constitución No. 1765;Torreón;Coahuila De Zaragoza;""27110"";ZM La Laguna;""10_Coah_za"";7.915;8.18;25.56874;-103.4337"
"470;""6134 | (Diagonal Reforma y Francisco Marquez)"";Petro 7;Boulevard Diagonal Reforma No. 2300;Torreón;Coahuila De Zaragoza;""27020"";ZM La Laguna;""7_Coah_za"";8.23;7.65;25.54993;-103.4232"
"577;""6096 | (Blvd. Torreón-Matamoros)"";Petro 7;Boulevard Torreón - Matamoros No. 9100;Torreón;Coahuila De Zaragoza;""27400"";ZM La Laguna;""7_Coah_za"";8.23;8.07;25.53419;-103.3228"
"529;""6102 | (Ave. Prolongación Juaréz y Libertad)"";Petro 7;Lt. 1 Mz. 2 Prolongación Juárez S/N;Torreón;Coahuila De Zaragoza;""27083"";ZM La Laguna;""7_Coah_za"";8.23;8.23;25.53979;-103.3584"
"1288;""6219 | (Blvd. Rodriguez Triana y Paseo del Tecnologico)"";Petro 7;Boulevard Rodríguez Triana No. 717 Sur;Torreón;Coahuila De Zaragoza;""27250"";ZM La Laguna;""7_Coah_za"";8.23;8.48;25.51707;-103.3903"
"10546;""6220 | (Villas La Merced)"";Petro 7;Calzada Diagonal de Las Fuentes No. 10;Torreón;Coahuila De Zaragoza;""27295"";ZM La Laguna;""7_Coah_za"";8.23;8.49;25.5072;-103.4001"
"3002;""6272 | (Servicio Elizondo)"";Petro 7;Conocido Ejido Ana Antigua Carretera a San Pedro No. 55;Torreón;Coahuila De Zaragoza;""27410"";ZM La Laguna;""1_Coah_za"";8.625;8.6;25.5968;-103.3818"
"9442;""6263 | (Encinos)"";Petro 7;Paseo de La Nogalera No. 724;Torreón;Coahuila De Zaragoza;""27420"";ZM La Laguna;""1_Coah_za"";8.625;8.65;25.60405;-103.4003"
"23695;""6159 | (Patria y Colón)"";Petro 7;AV. PATRIA NO. 2757 ESQUINA AV. COLON COLONIA EL SAUZ SECTOR JUAREZ GUADALAJARA JALISCO. C.P. 44987;Guadalajara;Jalisco;""0"";ZM Guadalajara;""0_Jali_co"";8.45;7.8;20.62619;-103.3871"
"9496;""6267 | (Toltecas)"";Petro 7;Cl Gobernador Curiel No. 3467;Guadalajara;Jalisco;""44990"";ZM Guadalajara;""0_Jali_co"";8.45;8.89;20.62228;-103.3462"
"2297;""6315 | Bilbao"";Petro 7;Circunvalación División de Norte No. 1116;Guadalajara;Jalisco;""44220"";ZM Guadalajara;""1_Jali_co"";8.62;8.19;20.70651;-103.3493"
"11951;""6256 | (Federalismo Centro)"";Petro 7;Morelos 785-A Y Pedro Moreno No. 766-A;Guadalajara;Jalisco;""44100"";ZM Guadalajara;""1_Jali_co"";8.62;8.62;20.6761;-103.3551"
"8193;""6309 | (SAN SEBASTIANITO)"";Petro 7;Periférico Sur 6810;San Pedro Tlaquepaque;Jalisco;""45602"";ZM Guadalajara;""5_Jali_co"";8.38;8.29;20.58796;-103.3846"
"19682;""6151 | (Prol. 8 de Julio)"";Petro 7;Avenida Prolongación 8 de Julio No. 2055;San Pedro Tlaquepaque;Jalisco;""45602"";ZM Guadalajara;""5_Jali_co"";8.38;8.38;20.57514;-103.3896"
"546;""6059 | (Periferico Sur antes Iteso)"";Petro 7;Periférico Sur No. 8745;San Pedro Tlaquepaque;Jalisco;""45235"";ZM Guadalajara;""5_Jali_co"";8.38;8.5;20.61091;-103.4194"
"23681;""6156 | (ISLA RAZA Y CRUZ DEL SUR)"";Petro 7;AV CRUZ DEL SUR 3680;San Pedro Tlaquepaque;Jalisco;""0"";ZM Guadalajara;""0_Jali_co"";8.45;8.45;20.63644;-103.3967"
"518;""7341 | (La Tijera)"";Petro 7;Carretera Guadalajara - Morelia Km 3.5;Tlajomulco De Zúñiga;Jalisco;""45640"";ZM Guadalajara;""10_Jali_co"";8.155;7.97;20.5867;-103.4448"
"512;""7378 | (Tlajomulco)"";Petro 7;Carretera México - Guadalajara;Tlajomulco De Zúñiga;Jalisco;""45645"";ZM Guadalajara;""10_Jali_co"";8.155;8.34;20.54878;-103.4711"
"623;""8837 | (Cajititlan)"";Petro 7;Carretera a Cajititlán No. 200;Tlajomulco De Zúñiga;Jalisco;""45640"";ZM Guadalajara;""8_Jali_co"";8.74;8.39;20.45484;-103.2512"
"549;""7480 | (Autopista Mexico)"";Petro 7;Autopista Guadalajara - Zapotlanejo S/N;Tonalá;Jalisco;""45400"";ZM Guadalajara;""8_Jali_co"";8.74;8.74;20.62028;-103.2741"
"452;""7475 | (Autopista Tonalá)"";Petro 7;Las Torres No. 55;Tonalá;Jalisco;""44130"";ZM Guadalajara;""8_Jali_co"";8.74;8.86;20.61732;-103.2545"
"23696;""6161 | (Patria y clouthier)"";Petro 7;AVENIDA PATRIA S/N ESQUINA AVENIDA MANUEL J. CLOUTHIER;Zapopan;Jalisco;""0"";ZM Guadalajara;""1_Jali_co"";8.62;8.21;20.65988;-103.4233"
"10548;""6177 | (Ouropreto)"";Petro 7;Carretera Guadalajara-Nogales Km 13.90;Zapopan;Jalisco;""45019"";ZM Guadalajara;""1_Jali_co"";8.62;8.65;20.72431;-103.5024"
